dyn,ip,REG_RDI,REG_RSI,REG_RBP,REG_RSP,REG_RBX,REG_RDX,REG_RCX,REG_RAX,REG_SEG_CS,REG_SEG_SS,REG_SEG_DS,REG_SEG_ES,REG_SEG_FS,REG_SEG_GS,REG_RFLAGS,REG_RIP,memread_addr_1,read_size_1,mem_val_1,displacement_1,base_reg_1,index_reg_1,scale_1,memread_addr_2,read_size_2,mem_val_2,displacement_2,base_reg_2,index_reg_2,scale_2,memwrite_addr,read_size,mem_val,displacement,base_reg,index_reg,scale,
42,4196394,1,1,140724770315088,140724770315008,0,1,1,1,51,43,0,0,0,0,514,4196394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
43,4196396,1,1,140724770315088,140724770315008,0,1,1,1,51,43,0,0,0,0,514,4196396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
44,4196398,1,1,140724770315088,140724770315008,0,1,1,1,51,43,0,0,0,0,514,4196398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140724770315040,4,0,4294967248,5,0,1,
45,4196401,1,1,140724770315088,140724770315008,0,1,1,1,51,43,0,0,0,0,514,4196401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140724770315000,8,4196364,0,6,0,1,
46,4196406,1,1,140724770315088,140724770315008,0,1,1,1,51,43,0,0,0,0,582,4196406,140724770315040,4,1,4294967248,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
47,4196409,1,1,140724770315088,140724770315008,0,1,1,1,51,43,0,0,0,0,582,4196409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140724770315064,4,1,4294967272,5,0,1,
48,4196412,1,1,140724770315088,140724770315008,0,1,1,1,51,43,0,0,0,0,582,4196412,140724770315068,4,1,4294967276,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49,4196415,1,1,140724770315088,140724770315008,0,1,1,1,51,43,0,0,0,0,582,4196415,140724770315068,4,1,4294967276,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
50,4196418,1,1,140724770315088,140724770315008,0,1,1,1,51,43,0,0,0,0,582,4196418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
51,4196423,1,1,140724770315088,140724770315008,0,1,1,2,51,43,0,0,0,0,514,4196423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
52,4196429,1,1,140724770315088,140724770315008,0,1,2,2,51,43,0,0,0,0,514,4196429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
53,4196431,2,1,140724770315088,140724770315008,0,1,2,2,51,43,0,0,0,0,514,4196431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
54,4196433,2,2,140724770315088,140724770315008,0,1,2,2,51,43,0,0,0,0,514,4196433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140724770315036,4,0,4294967244,5,0,1,
55,4196436,2,2,140724770315088,140724770315008,0,1,2,2,51,43,0,0,0,0,514,4196436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140724770315000,8,4196406,0,6,0,1,
56,4196441,2,2,140724770315088,140724770315008,0,1,2,2,51,43,0,0,0,0,582,4196441,140724770315036,4,2,4294967244,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
57,4196444,2,2,140724770315088,140724770315008,0,1,2,2,51,43,0,0,0,0,582,4196444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140724770315068,4,1,4294967276,5,0,1,
58,4196447,2,2,140724770315088,140724770315008,0,1,2,2,51,43,0,0,0,0,582,4196447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
59,4196321,2,2,140724770315088,140724770315008,0,1,2,2,51,43,0,0,0,0,582,4196321,140724770315068,4,2,4294967276,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
60,4196324,2,2,140724770315088,140724770315008,0,1,2,2,51,43,0,0,0,0,582,4196324,140724770315068,4,2,4294967276,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
61,4196327,2,2,140724770315088,140724770315008,0,1,2,2,51,43,0,0,0,0,582,4196327,140724770315060,4,6,4294967268,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
62,4196330,2,2,140724770315088,140724770315008,0,6,2,2,51,43,0,0,0,0,582,4196330,140724770315060,4,6,4294967268,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
63,4196333,2,6,140724770315088,140724770315008,0,6,2,2,51,43,0,0,0,0,582,4196333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
64,4196335,2,6,140724770315088,140724770315008,0,6,2,2,51,43,0,0,0,0,663,4196335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
65,4196339,1,6,140724770315088,140724770315008,0,6,2,2,51,43,0,0,0,0,663,4196339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
66,4196341,1,6,140724770315088,140724770315008,0,6,2,2,51,43,0,0,0,0,663,4196341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
67,4196345,1,6,140724770315088,140724770315008,0,6,2,2,51,43,0,0,0,0,663,4196345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
68,4196349,1,6,140724770315088,140724770315008,0,6,2,1,51,43,0,0,0,0,663,4196349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
69,4196353,1,1,140724770315088,140724770315008,0,6,2,1,51,43,0,0,0,0,663,4196353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140724770315047,1,1,4294967255,5,0,1,
70,4196357,1,1,140724770315088,140724770315008,0,6,2,1,51,43,0,0,0,0,663,4196357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
71,4196359,1,1,140724770315088,140724770315008,0,6,2,1,51,43,0,0,0,0,663,4196359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140724770315000,8,4196441,0,6,0,1,
72,4196364,1,1,140724770315088,140724770315008,0,6,2,1,51,43,0,0,0,0,582,4196364,140724770315047,1,1,4294967255,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
73,4196368,1,1,140724770315088,140724770315008,0,6,2,1,51,43,0,0,0,0,582,4196368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
74,4196372,1,1,140724770315088,140724770315008,0,6,2,1,51,43,0,0,0,0,514,4196372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
75,4196376,1,1,140724770315088,140724770315008,0,6,2,1,51,43,0,0,0,0,514,4196376,140724770315064,4,1,4294967272,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
76,4196379,1,1,140724770315088,140724770315008,0,6,2,1,51,43,0,0,0,0,514,4196379,140724770315064,4,1,4294967272,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
77,4196382,1,1,140724770315088,140724770315008,0,6,1,1,51,43,0,0,0,0,514,4196382,140724770315068,4,2,4294967276,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
78,4196385,1,1,140724770315088,140724770315008,0,2,1,1,51,43,0,0,0,0,514,4196385,140724770315068,4,2,4294967276,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
79,4196388,1,2,140724770315088,140724770315008,0,2,1,1,51,43,0,0,0,0,514,4196388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
80,4196391,1,2,140724770315088,140724770315008,0,2,1,2,51,43,0,0,0,0,514,4196391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
81,4196394,1,2,140724770315088,140724770315008,0,2,2,2,51,43,0,0,0,0,514,4196394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
82,4196396,2,2,140724770315088,140724770315008,0,2,2,2,51,43,0,0,0,0,514,4196396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
83,4196398,2,2,140724770315088,140724770315008,0,2,2,2,51,43,0,0,0,0,514,4196398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140724770315040,4,1,4294967248,5,0,1,
84,4196401,2,2,140724770315088,140724770315008,0,2,2,2,51,43,0,0,0,0,514,4196401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140724770315000,8,4196364,0,6,0,1,
85,4196406,2,2,140724770315088,140724770315008,0,2,2,2,51,43,0,0,0,0,582,4196406,140724770315040,4,2,4294967248,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
86,4196409,2,2,140724770315088,140724770315008,0,2,2,2,51,43,0,0,0,0,582,4196409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140724770315064,4,1,4294967272,5,0,1,
87,4196412,2,2,140724770315088,140724770315008,0,2,2,2,51,43,0,0,0,0,582,4196412,140724770315068,4,2,4294967276,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
88,4196415,2,2,140724770315088,140724770315008,0,2,2,2,51,43,0,0,0,0,582,4196415,140724770315068,4,2,4294967276,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
89,4196418,2,2,140724770315088,140724770315008,0,2,2,2,51,43,0,0,0,0,582,4196418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
