,Unnamed: 0,dyn,ip_x,REG_RDI,REG_RSI,REG_RBP,REG_RSP,REG_RDX,REG_RCX,REG_RAX,REG_RFLAGS,REG_RIP,memread_addr_1,read_size_1,mem_val_1,displacement_1,base_reg_1,index_reg_1,scale_1,memwrite_addr,read_size,mem_val,displacement,base_reg,index_reg,scale, prop_his,num,ip_y,reg,left,right,result
52,52,14000,4199097,68,184.0,140731406239840,140731406239808,25211154,139698204554752.0,20.0,663,4199097,0,0,0,0,0,0,0,140731406239800,8,4199102,0,6,0,1,16,2009788,4199097,4,13980,14000,3
53,53,14047,4199005,550,186.0,140731406239840,140731406239808,25211154,139698204554752.0,187.0,643,4199005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1904953,4199005,25,14047,14047,2
54,54,14117,4199042,908,188.0,140731406239840,140731406239808,25211154,139698204554752.0,20.0,643,4199042,0,0,0,0,0,0,0,140731406239816,4,1092039475,4294967272,5,0,1,192,459178,4199042,100,14117,14117,3
55,55,14385,4199151,272,197.0,140731406239840,140731406239808,25211154,139698204554752.0,198.0,518,4199151,0,0,0,0,0,0,0,140731406239820,4,197,4294967276,5,0,1,6144,1397405,4199151,10,14385,14385,4
56,56,14408,4199123,578,139698204563104.0,140731406239840,140731406239808,579,139698204554912.0,73.0,514,4199123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,459283,4199123,100,14408,14408,3
57,57,15118,4199110,408,139698204563104.0,140731406239840,140731406239808,409,139698204554912.0,245.0,514,4199110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,459533,4199110,100,15116,15118,3
58,58,15253,4199151,122,225.0,140731406239840,140731406239808,25211154,139698204554752.0,226.0,518,4199151,0,0,0,0,0,0,0,140731406239820,4,225,4294967276,5,0,1,6144,1397517,4199151,10,15253,15253,3
59,59,15655,4199146,536,238.0,140731406239840,140731406239808,25211154,139698204554752.0,238.0,514,4199146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3072,1397568,4199146,10,15655,15655,3
60,60,16526,4202590,25211873,25215688.0,140731406239632,140731406239568,20,120.0,25211873.0,514,4202590,0,0,0,0,0,0,0,140731406239560,8,4202595,0,6,0,1,33554435,574,4202590,3,16524,16526,2
61,61,16573,4202524,25211907,25215708.0,140731406239632,140731406239568,140731406239816,15.0,25211424.0,518,4202524,140731406239816,4,20,0,8,0,1,0,0,0,0,0,0,0,24,464414,4202524,8,16573,16573,2
62,62,16704,4202508,25212043,25215788.0,140731406239632,140731406239568,20,140731406239812.0,12.0,643,4202508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1905110,4202508,25,16704,16704,2
63,63,17065,4202687,14,34.0,140731406239632,140731406239568,25215568,1.0,25211601.0,534,4202687,140731406239816,4,20,0,11,0,1,0,0,0,0,0,0,0,458752,1902246,4202687,11,17065,17065,2
64,64,17126,4202670,14,34.0,140731406239632,140731406239568,7,136.0,25211560.0,514,4202670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14336,464514,4202670,8,17126,17126,4
65,65,17152,4202759,25211567,25215608.0,140731406239632,140731406239568,986,986.0,25211424.0,514,4202759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6145,1397798,4202759,10,17141,17152,2
66,66,17594,4202914,25211424,14.0,140731406239632,140731406239568,34,140731406239816.0,2.0,534,4202914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,464600,4202914,8,17594,17594,4
67,67,17901,4203050,25211424,14.0,140731406239632,140731406239568,34,140731406239816.0,224.0,530,4203050,140731406239588,4,7,4294967252,5,0,1,0,0,0,0,0,0,0,562949953421313,1397997,4203050,10,17901,17901,3
68,68,18002,4202951,25211424,14.0,140731406239632,140731406239568,34,140731406239816.0,8.0,534,4202951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,397312,464662,4202951,8,18002,18002,3
69,69,19054,4202941,25211424,14.0,140731406239632,140731406239568,34,140731406239816.0,24.0,514,4202941,140731406239816,4,20,0,9,0,1,0,0,0,0,0,0,0,24576,927429,4202941,9,19054,19054,2
70,70,19202,4202991,25211424,14.0,140731406239632,140731406239568,20,140731406239816.0,26.0,514,4202991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1073741875,2010328,4202991,4,19202,19202,3
71,71,19723,4202914,25211424,14.0,140731406239632,140731406239568,34,140731406239816.0,0.0,534,4202914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,1398628,4202914,10,19718,19723,3
72,72,20083,4203010,25211424,14.0,140731406239632,140731406239568,34,140731406239816.0,196.0,514,4203010,140731406239584,4,1,4294967248,5,0,1,0,0,0,0,0,0,0,68719476864,1398756,4203010,10,20083,20083,4
73,73,20118,4202912,25211424,14.0,140731406239632,140731406239568,20,140731406239816.0,6.0,514,4202912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,2010466,4202912,4,20118,20118,3
74,74,20201,4202965,25211424,14.0,140731406239632,140731406239568,34,140731406239816.0,243.0,518,4202965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6815808,1398797,4202965,10,20201,20201,4
75,75,20322,4202930,25211424,14.0,140731406239632,140731406239568,34,314.0,314.0,518,4202930,25211738,1,38,0,3,9,1,0,0,0,0,0,0,0,3584,814,4202930,3,20322,20322,2
76,76,21423,4203075,25211424,14.0,140731406239632,140731406239568,34,878.0,26.0,514,4203075,0,0,0,0,0,0,0,140731406239580,4,25,4294967244,5,0,1,72057594037927942,1399224,4203075,10,21423,21423,2
77,77,21974,4202884,25211424,7.0,140731406239632,140731406239568,20,140731406239812.0,0.0,659,4202884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,2010745,4202884,4,21974,21974,3
78,78,22108,4202889,25211424,14.0,140731406239632,140731406239568,34,140731406239812.0,2.0,534,4202889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,465282,4202889,8,22108,22108,4
79,79,22226,4203053,25211424,14.0,140731406239632,140731406239568,34,140731406239816.0,129.0,534,4203053,140731406239584,4,2,4294967248,5,0,1,0,0,0,0,0,0,0,1125899906842627,1399501,4203053,10,22226,22226,3
80,80,22457,4202949,25211424,14.0,140731406239632,140731406239568,20,140731406239816.0,7.0,514,4202949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212992,2010820,4202949,4,22457,22457,4
81,81,22493,4203063,25211424,14.0,140731406239632,140731406239568,34,267.0,267.0,514,4203063,0,0,0,0,0,0,0,25211691,1,39,0,3,9,1,9007199254741021,945,4203063,3,22493,22493,2
82,82,22636,4202889,25211424,14.0,140731406239632,140731406239568,34,140731406239812.0,10.0,534,4202889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,465362,4202889,8,22636,22636,3
83,83,22926,4202972,25211424,14.0,140731406239632,140731406239568,34,480.0,480.0,514,4202972,0,0,0,0,0,0,0,25211904,1,0,0,3,9,1,16779267,928070,4202972,9,22925,22926,3
84,84,22974,4202914,25211424,14.0,140731406239632,140731406239568,34,140731406239816.0,15.0,534,4202914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,465414,4202914,8,22974,22974,3
85,85,22979,4202930,25211424,14.0,140731406239632,140731406239568,34,519.0,519.0,514,4202930,25211943,1,40,0,3,9,1,0,0,0,0,0,0,0,3584,974,4202930,3,22979,22979,2
86,86,23196,4202991,25211424,14.0,140731406239632,140731406239568,20,140731406239816.0,18.0,514,4202991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1073741875,465447,4202991,8,23194,23196,4
87,87,23478,4203048,25211424,14.0,140731406239632,140731406239568,34,140731406239816.0,748.0,514,4203048,140731406239816,4,20,0,9,0,1,0,0,0,0,0,0,0,281474976710668,1399936,4203048,10,23477,23478,2
88,88,23523,4202983,25211424,14.0,140731406239632,140731406239568,34,140731406239816.0,23.0,518,4202983,140731406239816,4,20,0,9,0,1,0,0,0,0,0,0,0,134217752,928170,4202983,9,23523,23523,2
